sentence,emotion
Mütter sollen nicht mehr besser sein,Antizipation
Nationalrat verbietet Replay-TV nicht,Überraschung
Nationalrat verbietet Replay-TV nicht,Antizipation
«Big Data ist ein Zauberwerkzeug für Überwachung»,Angst
Google schwieg ein halbes Jahr über Datenpanne bei Online-Netzwerk,Ärger
Rentenalter 65 für Frauen – Bundesrat will den Schritt mit 700 Millionen abfedern,Vertrauen
Die Schweizer Banken warnen: Negativzinsen dürfen nicht zur «neuen Normalität» werden,Angst
Bankiervereinigung drängt auf Fortschritte beim EU-Marktzugang,Unklar
Mit Influencer-Marketing die Touristenströme lenken,Vertrauen
Papst mahnt Europäische Union zu Einheit und Solidarität,Vertrauen
Wie nachhaltig kann ein Ölkonzern sein?,Vertrauen
Firmen sollen für Menschenrechtsverletzungen haften,Vertrauen
«Die beissen doch nicht!»,Überraschung
Mit neuem Impfmix gegen die Grippeviren,Vertrauen
Die Rheinauer wollen ein Grundeinkommen – bald wird wohl Geld gesammelt,Freude
Wichtiger Schritt auf dem Weg zur Heilung von HIV,Vertrauen
Google-Chef kassiert 100 Millionen Bonus,Überraschung
Google-Chef kassiert 100 Millionen Bonus,Freude
Ein ganzer Tag für die Digitalisierung,Unklar
Werbung als Nährstoff und Störfaktor,Unklar
"EU verhängt Busse von 1,5 Milliarden Euro gegen Google",Ärger
Kantonsrat lehnt Initiative zur Förderung der Film- und Game-Branche ab,Unklar
In manchen Ländern Europas wird Abtreiben schwieriger,Überraschung
Hunderte Klimaschützer protestieren in London,Keine
Angriff auf die AHV,Angst
Mehrere Todesopfer nach Unwetter in Italien,Traurigkeit
Zürcher Kulturpolitik: Es knorzt im Gebälk der Förderarchitektur,Überraschung
FDP lehnt das Reformpaket für die künftige Altersvorsorge klar ab,Unklar
Nobelpreisträger Dubochet für Moratorium auf gewissen Technologien,Unklar
UNEP: Bei «Weiter wie bisher»-Politik droht Klimakatastrophe,Angst
Cassis' Kurswechsel in der Entwicklungshilfe war überfällig,Vertrauen
Lidl zahlt 100 Franken mehr Mindestlohn,Freude
Lidl zahlt 100 Franken mehr Mindestlohn,Vertrauen
«Ein Modell für die Welt»,Vertrauen
Ausländer – mittendrin und nicht dabei,Überraschung
Der Online-Händler Amazon startet mit der Einführung eines Mindestlohns für seine Lagermitarbeiter eine Charmeoffensive,Überraschung
Der Online-Händler Amazon startet mit der Einführung eines Mindestlohns für seine Lagermitarbeiter eine Charmeoffensive,Antizipation
Sie will als Frau laufen – ungeachtet ihres Testosteronspiegels,Antizipation
Sie will als Frau laufen – ungeachtet ihres Testosteronspiegels,Vertrauen
Deutsche Klimaschützer misstrauen dem Markt,Antizipation
Deutsche Klimaschützer misstrauen dem Markt,Vertrauen
Der IS hat den Islam entführt,Vertrauen
Ab jetzt gilt ein Mindestlohn im Kanton Neuenburg,Vertrauen
Schauspielerinnen protestieren in Cannes gegen Rassismus,Ärger
Schauspielerinnen protestieren in Cannes gegen Rassismus,Antizipation
«Der Marktzugang in die EU wird schlechter»,Antizipation
«Der Marktzugang in die EU wird schlechter»,Angst
Mitarbeiter von Google wollten Suchergebnisse verfälschen – Konservative sind erbost,Antizipation
Self-Check-out jetzt erstmals im Kiosk,Antizipation
Self-Check-out jetzt erstmals im Kiosk,Freude
Schweiz will gleiche Klima-Gradmesser,Antizipation
Schweiz will gleiche Klima-Gradmesser,Vertrauen
Frankreich führt mit Prostitutionsgesetz Geldstrafen für Freier ein,Vertrauen
SVP verpasst Steilvorlage beim Waffenrecht,Antizipation
Schweizer Industrieunternehmen sehen Chancen durch Industrie 4.0,Überraschung
Schweizer Industrieunternehmen sehen Chancen durch Industrie 4.0,Antizipation
Wolfsjagd in Schweden vorerst verboten,Überraschung
Nationalräte beantworten Fragen nicht und verärgern damit die SVP,Ärger
"Die stillen Motoren hinter Google, Facebook & Co.",Überraschung
Ford testet den Effekt selbstfahrender Autos mit getarntem Fahrer,Antizipation
Ford testet den Effekt selbstfahrender Autos mit getarntem Fahrer,Vertrauen
SGB kritisiert steigende Belastung der mittleren Einkommen,Überraschung
SGB kritisiert steigende Belastung der mittleren Einkommen,Ärger
Die Trends und Herausforderungen im Steuerbereich,Überraschung
Die Trends und Herausforderungen im Steuerbereich,Antizipation
Auch Getty reicht Wettbewerbsbeschwerde gegen Google ein,Unklar
Kunden machen Kasse – und der Beruf der Kassiererin stirbt aus,Vertrauen
Die Krise der Krisenhelfer,Ekel
Die Krise der Krisenhelfer,Traurigkeit
Die Krise der Krisenhelfer,Angst
"Können sich SVP, FDP und CVP bei der AHV einigen? So könnte eine schlanke Reform aussehen",Antizipation
Energieanlagen in Schweizer Hand könnten Hälfte der AKW ersetzen,Antizipation
Umfrage: Meiste Menschen in der Schweiz nehmen Klimawandel wahr,Überraschung
Umfrage: Meiste Menschen in der Schweiz nehmen Klimawandel wahr,Vertrauen
Neues Regime für Kinderkrippen,Antizipation
Feuerwehr führt Buschfeuer in Bel Air auf Obdachlose zurück,Traurigkeit
Sinkflug bei Medikamentenpreisen dürfte 2016 weitergehen,Überraschung
Sinkflug bei Medikamentenpreisen dürfte 2016 weitergehen,Antizipation
Wie hart trifft der Sparhammer Schulen und Unis?,Überraschung
Wie hart trifft der Sparhammer Schulen und Unis?,Antizipation
"Datenschutz, der nächste Megatrend im Silicon Valley",Antizipation
Verdient die Schweiz an der EU?,Überraschung
Kuba nimmt Paragrafen zu Ehe für Alle nicht in neue Verfassung auf,Ärger
Kuba nimmt Paragrafen zu Ehe für Alle nicht in neue Verfassung auf,Antizipation
Warum Briten nicht in der Agglomeration wohnen,Überraschung
Warum Briten nicht in der Agglomeration wohnen,Antizipation
Eine Partei im Sommerloch,Antizipation
"Talente – begehrt, gefördert und mobil",Keine
"Talente – begehrt, gefördert und mobil",Vertrauen
Bei der SVP sind Frauen zweite Wahl,Überraschung
Bei der SVP sind Frauen zweite Wahl,Antizipation
Ungarns «Plastikpiraten» kämpfen gegen eine beispiellose Abfallflut,Traurigkeit
Ungarns «Plastikpiraten» kämpfen gegen eine beispiellose Abfallflut,Angst
Unabhängig im Herzen Europas,Antizipation
Big Brother Büpf spaltet die SVP,Antizipation
London will nach Brexit EU-Subventionen vollumfänglich ersetzen,Antizipation
London will nach Brexit EU-Subventionen vollumfänglich ersetzen,Angst
Elektromobilität lohnt nur im Nahbereich – für lange Strecken und den Transport schwerer Lasten taugen batteriebetriebene Fahrzeuge nicht,Antizipation
Elektromobilität lohnt nur im Nahbereich – für lange Strecken und den Transport schwerer Lasten taugen batteriebetriebene Fahrzeuge nicht,Vertrauen
Bleibt Deutschland sitzen?,Unklar
Genf plant Strafsteuer für Self-Checkout,Antizipation
Die grossen Festspiele der Dopingsünder?,Überraschung
Die grossen Festspiele der Dopingsünder?,Ärger
Bei der Cybersicherheit wirkt die Peitsche mehr als das Zuckerbrot,Ärger
Kalifornien tritt beim Datenschutz in die Fussstapfen der EU,Antizipation
Kalifornien tritt beim Datenschutz in die Fussstapfen der EU,Vertrauen
"Der Doping-Skandal im Langlauf zeigt, dass der Sport Hilfe von aussen braucht",Ärger
Fliegen jetzt alle Russen bei Olympia raus?,Ärger
Fliegen jetzt alle Russen bei Olympia raus?,Antizipation
Hier kommt unser Atommüll zurück!,Unklar
Österreichs «Burkaverbot» untersagt jede Gesichtsverhüllung,Ärger
Österreichs «Burkaverbot» untersagt jede Gesichtsverhüllung,Antizipation
Wanner will länger arbeiten lassen,Antizipation
Wanner will länger arbeiten lassen,Angst
"Fliegen ist klimaschädlich und wer fliegt, sollte das verantwortungsbewusst tun – sagen Fluggesellschaften",Vertrauen
Maurer: Schweiz nicht finanzierbar mit einem Drittel der Einnahmen,Antizipation
Retten Kamerasensoren und Videospiele Sony?,Antizipation
Die Deutschen und der Islam: Sie pendeln zwischen Verteufelung und Verherrlichung,Überraschung
Die Deutschen und der Islam: Sie pendeln zwischen Verteufelung und Verherrlichung,Ärger
Die deutschen Sozialdemokraten entfernen sich von der wirtschaftspolitischen Vernunft,Ärger
Forscher sehen Klimawandel als Ursache für Dürre in Kalifornien,Angst
Ist Kim Jong Un auf Visite in China?,Antizipation
Polizei jagte gezielt Diebe aus Nordafrika,Antizipation
Zürichs Nachtklubs kämpfen mit sinkendem Getränkekonsum der Partygänger,Vertrauen
Amazon wird wie Google und Facebook zur Werbeplattform,Überraschung
Amazon wird wie Google und Facebook zur Werbeplattform,Antizipation
Ein EU-Gesetz mausert sich zum globalen Standard,Unklar
«Kann den Trophäenkult nicht nachvollziehen»,Traurigkeit
Kanton Waadt lässt häufig Dublin-Fristen verstreichen,Überraschung
Kanton Waadt lässt häufig Dublin-Fristen verstreichen,Ärger
WEF: Die Welt tanzt auf einem Schuldenberg,Antizipation
WEF: Die Welt tanzt auf einem Schuldenberg,Angst
Grundsatzkritk und Konzeptmängel,Antizipation
Grundsatzkritk und Konzeptmängel,Vertrauen
Datenschutzoptionen bei Google nun einfacher zu bedienen,Vertrauen
Erste positive Crispr-Studie begeistert die Wall Street,Antizipation
Erste positive Crispr-Studie begeistert die Wall Street,Angst
IWF rät SNB zu stärkerem Fokus auf Negativzinsen,Freude
IWF rät SNB zu stärkerem Fokus auf Negativzinsen,Vertrauen
Gen-Zwillinge entsetzen die Welt,Ekel
«Jetzt können die Stammtisch-Diskussionen losgehen»,Antizipation
«Jetzt können die Stammtisch-Diskussionen losgehen»,Freude
Erster Autosalon nur für Frauen in Saudi-Arabien eröffnet,Freude
Umstrittenes Vorgehen: Polizei sucht in Zürcher Jugendherberge gezielt nach Nordafrikanern,Ärger
Umstrittenes Vorgehen: Polizei sucht in Zürcher Jugendherberge gezielt nach Nordafrikanern,Vertrauen
Ausländer dürfen in Zürich nicht mitbestimmen,Antizipation
Das Tessin ist dritter Kanton mit einem Mindestlohn,Überraschung
EU-Finanzminister beraten über Besteuerung von Internet-Konzernen,Antizipation
«Ehe für alle ist Ehe für keinen»,Ärger
Zwei Wochen frei nach Vaterfreuden,Überraschung
Zwei Wochen frei nach Vaterfreuden,Antizipation
Wenn Schweizer Hooligans zu gewalttätigen Muslimen werden,Überraschung
Behörden sollen bei Flüchtlingskindern mildere Asylpraxis üben,Ärger
Behörden sollen bei Flüchtlingskindern mildere Asylpraxis üben,Vertrauen
Uno verabschiedet Resolution gegen sexuelle Belästigung und Gewalt,Ärger
Exit fordert Sterbehilfe auch für gesunde Alte,Unklar
Immer mehr Kinder wollen ein anderes Geschlecht,Überraschung
Zuwanderung aus Süden statt Norden,Vertrauen
Das Parlament sagt Ja zu einem zweiwöchigen Vaterschaftsurlaub,Antizipation
Wir arbeiten mehr gratis als für Geld,Überraschung
Kinder sind ein Ego-Projekt,Überraschung
Kinder sind ein Ego-Projekt,Ärger
«Selbst schlechte Deutschkenntnisse rechtfertigen niemals den Gebrauch der Du-Form von der Polizei»,Ärger
«Selbst schlechte Deutschkenntnisse rechtfertigen niemals den Gebrauch der Du-Form von der Polizei»,Traurigkeit
Verkehr kostet Allgemeinheit in einem Jahr 13 Milliarden Franken,Überraschung
Verkehr kostet Allgemeinheit in einem Jahr 13 Milliarden Franken,Keine
Stadtberner schaffen Voraussetzungen für Bau einer neuen Siedlung,Keine
«Der Digitaltag ist europaweit einmalig»,Unklar
Der Ständerat stimmt für zwei Wochen Papi-Zeit: Sechs Antworten zum Vaterschaftsurlaub,Keine
Eine Legislatur zum Vergessen für die SVP,Antizipation
Eine Legislatur zum Vergessen für die SVP,Traurigkeit
Die Immigration treibt Schwedens Sozialdemokraten nach rechts,Unklar
"Zürcher Kirchen leisten mehr für die gesamte Gesellschaft, als sie vom Staat dafür erhalten",Vertrauen
Bundesgericht legt Messlatte für lebenslange Verwahrung hoch,Überraschung
Obdachlose retten Neugeborenes aus Abfallcontainer,Traurigkeit
"Warum es gut ist, Spitäler zu schliessen",Ärger
Warum Klimaberichte wichtig sind,Überraschung
Warum Klimaberichte wichtig sind,Traurigkeit
Warum Klimaberichte wichtig sind,Vertrauen
Der Glaube und die Politik,Überraschung
Der Glaube und die Politik,Ärger
Negativzinsen – für wie lange noch?,Antizipation
Expertengruppe rät von Lockerung der Schuldenbremse ab,Antizipation
Spitäler als attraktives Anlageziel am Bond-Markt,Antizipation
Nach Jahren der Dürre: Rekord-Regenfälle in Kalifornien,Unklar
Venezuela erhöht Mindestlohn um 30 Prozent,Unklar
Mit Internetbildern gegen Zürcher Hooligans,Unklar
Google Plus verabschiedet sich mit einem Skandal,Überraschung
Ein Schweizer ist mittendrin,Antizipation
Droht jetzt der 17-Stunden-Tag?,Ärger
Google will Standort in der Schweiz massiv ausbauen,Überraschung
Google will Standort in der Schweiz massiv ausbauen,Antizipation
Influencer von PR-Agentur auf 90'000 Fr verklagt,Überraschung
Millionen Tonnen Plastik gelangen laut Studie jährlich ins Meer,Traurigkeit
"Keine Rechnung, keine Subventionen!",Ärger
"Keine Rechnung, keine Subventionen!",Ekel
Teure Lücken im Schweizer Bildungswesen,Antizipation
Teure Lücken im Schweizer Bildungswesen,Angst
"Der Cannabis-Verkauf in Apotheken ist eine clevere Idee, um die Schweizer Drogenpolitik zu entstauben",Antizipation
"Der Cannabis-Verkauf in Apotheken ist eine clevere Idee, um die Schweizer Drogenpolitik zu entstauben",Vertrauen
IWF unterstützt Negativzinsen bei Notenbanken,Antizipation
Jetzt gehts um die Wurst,Unklar
So kann die Schweiz von der Blockchain profitieren,Antizipation
So kann die Schweiz von der Blockchain profitieren,Vertrauen
"Burka-Initiative im Nationalrat: Nein zu Kleidervorschriften, Ja zur Gleichstellung",Unklar
Fertig Sparschweiz!,Antizipation
Aufsichtsbehörde verordnet Mindestlohn im Postmarkt,Unklar
Slowakei reicht Klage gegen EU-Flüchtlingsverteilung ein,Unklar
Fitness wird zum Muss – alle wollen Ihre Gesundheitsdaten,Überraschung
Fitness wird zum Muss – alle wollen Ihre Gesundheitsdaten,Antizipation
Schuldenbremse contra Staatsfonds: Und ewig lockt das Schuldenmachen,Antizipation
Influencer – es geht um Vertrauen,Überraschung
Influencer – es geht um Vertrauen,Antizipation
Trotz Anzeige kommen Beschuldigte ohne Urteil davon,Überraschung
Trotz Anzeige kommen Beschuldigte ohne Urteil davon,Traurigkeit
Künstliche Intelligenz im Sport wäre sinnlos,Überraschung
Künstliche Intelligenz im Sport wäre sinnlos,Antizipation
Künstliche Intelligenz – Hoffnungen und Befürchtungen,Antizipation
Vertreibt die EU Google aus der Schweiz?,Antizipation
Schweiz verhandelt in humanitären Fragen direkt mit Assad-Regime,Vertrauen
In der Zürcher Gemeinde Rheinau soll das Grundeinkommen getestet werden,Antizipation
Self-Tracking gehört zur Medizin von morgen,Vertrauen
Google fördert Medienprojekte von Ringier und AZ,Antizipation
Der Profi-Obdachlose,Traurigkeit
Der Profi-Obdachlose,Vertrauen
"Google weiss heute, ob es morgen teurer wird",Antizipation
Ausländer sollen wählen dürfen!,Unklar
Bitte nicht Ukraine vs. Russland!,Angst
Unternehmen knausern beim Umweltschutz,Überraschung
Unternehmen knausern beim Umweltschutz,Traurigkeit
Fussball in Zeiten Gretas: Die Schweizer Klubs haben punkto Umweltschutz Nachholbedarf,Antizipation
Werbeplakate verbieten? Keine gute Idee!,Antizipation
"Schutz von Klima und Umwelt – vorgebracht wird vieles, nur das Wort «Verzicht» fällt nicht",Antizipation
"Schutz von Klima und Umwelt – vorgebracht wird vieles, nur das Wort «Verzicht» fällt nicht",Traurigkeit
"In Zeiten gesellschaftlicher Zerwürfnisse sollten Kirchen für Nächstenliebe eintreten, statt in der Politik zu wildern",Antizipation
"In Zeiten gesellschaftlicher Zerwürfnisse sollten Kirchen für Nächstenliebe eintreten, statt in der Politik zu wildern",Vertrauen
Ehe für alle? Ehe für keinen!,Überraschung
Hier schlagen sich Hooligans legal zusammen,Überraschung
Schweizer Vegan-Aktivisten erobern Deutschland,Überraschung
Schweizer Vegan-Aktivisten erobern Deutschland,Antizipation
Weihnachten für Politiker: Es winken bis zu 2 Milliarden Franken – dank einer Lockerung der Schuldenbremse,Antizipation
Weihnachten für Politiker: Es winken bis zu 2 Milliarden Franken – dank einer Lockerung der Schuldenbremse,Vertrauen
Darum gehts bei CRISPR-Cas9,Überraschung
Darum gehts bei CRISPR-Cas9,Antizipation
Bundesrat gibt der AHV bei der Rentenreform den Vorrang,Antizipation
Bundesrat gibt der AHV bei der Rentenreform den Vorrang,Angst
Gegen die Religionsfeindlichkeit,Überraschung
Gegen die Religionsfeindlichkeit,Antizipation
Aldi-Angestellte kriegen (noch) mehr Lohn,Überraschung
Gaming aus der Cloud,Antizipation
Freizügigkeit für die ganze Welt,Überraschung
Freizügigkeit für die ganze Welt,Antizipation
Acht Antworten zur Altersvorsorge in der Schweiz,Antizipation
Künstliche Intelligenz stellt uns vor viele Fragen – wie klingt zum Beispiel Musik in ihren Ohren?,Überraschung
Künstliche Intelligenz stellt uns vor viele Fragen – wie klingt zum Beispiel Musik in ihren Ohren?,Antizipation
«Den» Islam gibt es nicht: Muslime kennen viele Wege zur geistigen Erneuerung,Ärger
«Den» Islam gibt es nicht: Muslime kennen viele Wege zur geistigen Erneuerung,Traurigkeit
Gewalttätige Männer entzweien linke Frauen,Ärger
Gewalttätige Männer entzweien linke Frauen,Traurigkeit
«Wir haben eine falsche Zuwanderung»,Antizipation
Wie ich für drei Stunden zur Rassistin wurde,Ärger
Wie ich für drei Stunden zur Rassistin wurde,Traurigkeit
"Österreichs Polizei jagt Haie, Hasen und Lego-Figuren",Unklar
Das will die EU von uns,Antizipation
Ein aufgeklärter Mensch kann sich von Mohammed nur distanzieren,Traurigkeit
Influencer-Zickenkrieg auf Instagram,Unklar
Trump als Grund für Gefängnisrevolte,Unklar
Die EU will mit zwei Arten von Zentren die Erfassung von Migranten verbessern – doch viele Fragen bleiben ungeklärt,Unklar
«Für die Schweiz ist die letzte Hoffnung gestorben»,Antizipation
«Für die Schweiz ist die letzte Hoffnung gestorben»,Angst
«Vergesslicher Kunde» beim Self-Scanning macht sich des Ladendiebstahls schuldig,Überraschung
Neue Gentech-Verfahren sollen in der Schweiz liberaler reguliert werden als in der EU,Antizipation
Griff der Obdachlose nach der Waffe?,Traurigkeit
Nationalrat sagt Ja zur Stiefkindadoption für Homosexuelle,Unklar
Das haben die Schweizer Muslim-Vorschriften bis heute gebracht,Überraschung
Papst verteilt 300 Regenschirme an Obdachlose in Rom,Vertrauen
Glaubenslehren: Auch die Ordnung des Himmels ist nicht ewig,Unklar
Jetzt setzt auch die Politik auf Influencer,Antizipation
Die bauernschlaue Rechnung der SVP,Unklar
Massgeschneiderte Lösungen statt staatliches Lohndiktat,Antizipation
Massgeschneiderte Lösungen statt staatliches Lohndiktat,Angst
Tiefpunkt für Frauen an der Spitze,Überraschung
Letzte Chance für die Dublin-Reform,Antizipation
Wichtiger Fingerzeig an die Richter,Unklar
Die rechte Mehrheit im Nationalrat ist akut gefährdet,Antizipation
Bundesrat spielt Ball in Sachen Vaterschaftsurlaub den Kantonen zu,Unklar
Dieses autonome Auto kurvt bald durch unsere Städte,Überraschung
Dieses autonome Auto kurvt bald durch unsere Städte,Antizipation
Sterbezimmer in Schweizer Gefängnissen,Antizipation
Wann ist die Abstimmung über No-Billag?,Antizipation
So leicht kommt sie nicht in den Knast,Überraschung
Schweiz wird über Burkaverbot abstimmen / Nationalrat beschliesst Lockerungen zum Anlegerschutz / Dortmund verliert gegen Tottenham,Antizipation
«Der Siegeszug der Extremisten macht mir Sorgen»,Unklar
Nationalbank-Chef Jordan verteidigt Geldpolitik und Negativzins,Vertrauen
Drei von vier Frauen würden Thomas N. lebenslang verwahren,Unklar
Die SVP muss wieder einmal die Schweiz retten,Ärger
Die SVP muss wieder einmal die Schweiz retten,Vertrauen
"Mehr Steuern zahlen, um zu sparen",Unklar
Der Verzicht auf eine lebenslängliche Verwahrung ist richtig,Ärger
Menschen kippen einen Müllwagen Plastik pro Minute ins Meer,Unklar
«Nie wieder Krieg!» Mit dieser Formel ist es nicht getan,Antizipation
Wildschweine bleiben «verschont»,Antizipation
Volvo und Baidu bündeln die Kräfte bei selbstfahrenden Autos für China,Antizipation
Diese Länder wollen ihre CO2-Emissionen auf null senken. (Die grössten Emittenten sind aber nicht dabei.),Überraschung
Apple verliert gegen Smartphone-Gigant Huawei,Überraschung
Polizeigewalt in USA führt zu psychischen Problemen bei Schwarzen,Traurigkeit
Bei den Amis habens Papis am besten,Freude
Bei den Amis habens Papis am besten,Vertrauen
Und ewig locken die Subventionen,Überraschung
Und ewig locken die Subventionen,Antizipation
Zürcher Wirtschaft muss Kinderbetreuung nicht unterstützen,Unklar
"Gesichtserkennung, DNA-Profil-Gesetz und Terrorismus: Der Schweizer Datenschutzbeauftragte benennt die aktuellen Herausforderungen",Antizipation
"Gesichtserkennung, DNA-Profil-Gesetz und Terrorismus: Der Schweizer Datenschutzbeauftragte benennt die aktuellen Herausforderungen",Angst
Eine Woche nur mit Bitcoin zahlen,Antizipation
"Abschotten, einsperren, zurückweisen – was die deutsche Einigung für die europäische Migrationspolitik bedeutet",Antizipation
Jeff Bezos zeigt Herz für Obdachlose,Vertrauen
"Überwachung mit Gesichtserkennung: Made in China, erprobt in Xinjiang und weltweit exportiert",Überraschung
"Überwachung mit Gesichtserkennung: Made in China, erprobt in Xinjiang und weltweit exportiert",Antizipation
Warum Otto Normalverbraucher für Luxuskosmetik werben,Überraschung
Warum Otto Normalverbraucher für Luxuskosmetik werben,Antizipation
«Wir sind alle von rassistischen Bildern geprägt»,Unklar
Die letzten Kennedy-Dokumente sind eine Schatztruhe für Verschwörungstheoretiker,Antizipation
Frankreich und Deutschland wollen Öko-Energien in Afrika fördern,Antizipation
Frankreich und Deutschland wollen Öko-Energien in Afrika fördern,Freude
Mehrheit kann sich bedingungsloses Grundeinkommen kaum vorstellen,Unklar
Die Zürcher Kulturbranche meldet ihren Anspruch auf (mehr) Fördergelder an,Vertrauen
Die Zürcher «Lex Fifa» wird wohl scheitern,Überraschung
IV-Bezüger dürfen nicht mehr observiert werden,Überraschung
IV-Bezüger dürfen nicht mehr observiert werden,Vertrauen
Der Geduldsfaden in Sachen Menschenrechtsrat ist gerissen,Überraschung
«Historische» Gemeindeversammlung: Regensdorf spricht sich für die Surfanlage aus,Antizipation
«Historische» Gemeindeversammlung: Regensdorf spricht sich für die Surfanlage aus,Freude
Weniger Kosten durch effizienteren Umweltschutz,Überraschung
Medizinische Grundversorgung im eigenen Land soll sichergestellt sein,Antizipation
Medizinische Grundversorgung im eigenen Land soll sichergestellt sein,Vertrauen
Diese Werbung bricht ein Tabu,Überraschung
Diese Werbung bricht ein Tabu,Antizipation
Warum werben die in Deutschland?,Überraschung
Warum werben die in Deutschland?,Ärger
Zürcher wollen nichts wissen von Stimm- und Wahlrecht für Ausländer,Keine
Google streicht bei Motorola jede fünfte Stelle,Antizipation
Niemand will bei den Gesundheitskosten die Bremse ziehen,Unklar
Bundesrat will keinen Vaterschaftsurlaub,Traurigkeit
Nutella-Hersteller in USA zahlt nach Klage wegen «falscher» Werbung,Überraschung
Nutella-Hersteller in USA zahlt nach Klage wegen «falscher» Werbung,Freude
Handy-Angriff aus China,Überraschung
Muslime wollen Kirchensteuern,Antizipation
Muslime wollen Kirchensteuern,Vertrauen
Big Brother knipst für Google,Angst
Macron macht es niemandem recht,Antizipation
Künstliche Intelligenz voller Vorurteile,Antizipation
Droht Kahlschlag im Regionalverkehr?,Traurigkeit
Für eine ökologische Zivilisation – warum wir die ökonomischen Gewissheiten der Industrialisierung und ihrer Massenkultur aufgeben müssen,Antizipation
Für eine ökologische Zivilisation – warum wir die ökonomischen Gewissheiten der Industrialisierung und ihrer Massenkultur aufgeben müssen,Traurigkeit
Für eine ökologische Zivilisation – warum wir die ökonomischen Gewissheiten der Industrialisierung und ihrer Massenkultur aufgeben müssen,Angst
Illegale Sportwetten in Bars boomen,Überraschung
Der blinde Aktionismus der SVP schadet nur,Unklar
Regierung will keine Extrawurst für Stadt-Läden,Antizipation
Die Fehler der Natur korrigieren,Antizipation
Die Fehler der Natur korrigieren,Vertrauen
Jedes Jahr hungern 5 Millionen mehr,Traurigkeit
«Raus aus der Sackgasse» kommt nicht vors Volk,Antizipation
Kritik am SF wegen Werbung im Kinderprogramm,Ärger
Gouverneur von Georgia stoppt Ausgrenzungs-Gesetz,Überraschung
Monti koppelt Steuerabkommen mit der Schweiz an Bedingungen,Überraschung
Monti koppelt Steuerabkommen mit der Schweiz an Bedingungen,Antizipation
«Ich wäre ausgeschafft worden»,Unklar
Warum sind die Grünliberalen dagegen?,Überraschung
Nationalratskommission will Chips-Werbung für Kinder einschränken,Antizipation
"Esskultur lebt von der Lust, nicht von den Lastern",Überraschung
"Esskultur lebt von der Lust, nicht von den Lastern",Vertrauen
Putin will Adoptionsverbotsgesetz für US-Bürger in Kraft setzen,Ärger
Putin will Adoptionsverbotsgesetz für US-Bürger in Kraft setzen,Traurigkeit
Ein falsches Versprechen,Unklar
Mehr als 700 Personen demonstrieren in Lausanne gegen AHV-Reform,Antizipation
Die SVP drängt die Schweiz nach links,Ärger
Die SVP drängt die Schweiz nach links,Antizipation
Bundesrat soll Medikamentenpreise weniger stark senken,Antizipation
FDP-Frauen fordern Frauenquote per Gesetz,Überraschung
FDP-Frauen fordern Frauenquote per Gesetz,Antizipation
«Die Zuwanderung befruchtet den Sport»,Unklar
Für eine Steuer auf Robotern,Antizipation
Für eine Steuer auf Robotern,Vertrauen
Bund muss Leistungssport mit zusätzlichen 15 Millionen fördern,Antizipation
Bund muss Leistungssport mit zusätzlichen 15 Millionen fördern,Freude
Bund muss Leistungssport mit zusätzlichen 15 Millionen fördern,Vertrauen
EU stimmt für Spaltung von Google,Überraschung
EU stimmt für Spaltung von Google,Antizipation
Dieser Handy-Gigant ist grossartig,Vertrauen
Bedingungsloses Grundeinkommen fällt im Nationalrat durch,Antizipation
Bedingungsloses Grundeinkommen fällt im Nationalrat durch,Angst
Hitzeperioden in Australien kommen früher als erwartet,Überraschung
Die EU ist porös geworden,Traurigkeit
Die EU ist porös geworden,Angst
Polio-Impfungen für mehr als 36 Millionen pakistanische Kinder,Freude
Finnen planen Test-Einführung von Grundeinkommen,Antizipation
Spitzensportler trainieren auf Kosten von Steuerzahlern,Unklar
Klima-Kollaps? Alles okay!,Überraschung
Umfrage: Schweizer halten Reform der Altersvorsorge für nötig,Überraschung
«Passanten erdolchen geht zu weit»,Angst
Referendum gegen Verlängerung der Ladenöffnungszeiten steht,Unklar
Gleiche Öffnungszeiten für alle Läden,Antizipation
Gleiche Öffnungszeiten für alle Läden,Vertrauen
Ständerat lehnt bedingungsloses Grundeinkommen ab,Antizipation
Zahlen wir bald keine Steuern mehr?,Vertrauen
Hat es den «freien Willen» je gegeben?,Antizipation
Hat es den «freien Willen» je gegeben?,Angst
Schneider-Ammanns Kampf gegen die Mindestlohn-Initiative,Überraschung
Merkel: Migration könnte zur «Schicksalsfrage» Europas werden,Antizipation
Maximilian Reimann fordert Schuldenbremse für die SRG!,Überraschung
Maximilian Reimann fordert Schuldenbremse für die SRG!,Vertrauen
Unternehmensgewinnsteuern in Basel werden nicht erneut gesenkt,Keine
"Steigende Temperaturen, schwindender Konsens",Ärger
Für einen radikalen Schnitt,Antizipation
Rettet Silicon Valley vor den Regulierern,Antizipation
Kapitalismus fürs Klima: Die Jugend hat recht,Antizipation
"Eigenmietwertbesteuerung: unbeliebt, aber sinnvoll",Antizipation
SP warnt Kantone vor Senkung der Unternehmenssteuern,Antizipation
Im Wallis entsteht das zweitgrösste Waldreservat der Schweiz,Freude
"Elisa Shua Dusapin - «Ich brauche Orte, wo Kulturen sich mischen»",Keine
Rudolf Joders Pläne stossen auf Widerstand,Antizipation
Dignitas-Chef: Politiker wollen Sterbehilfe verhindern,Ärger
